order_line_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
6001,5001,3001,5,499.00,0.00,2495.00
6002,5001,3005,20,110.00,100.00,2100.00
6003,5002,3002,1,1299.00,0.00,1299.00
6004,5002,3006,2,899.00,50.00,1748.00
6005,5003,3003,6,2199.00,300.00,12894.00
6006,5003,3004,2,3999.00,0.00,7998.00
6007,5004,3007,10,275.00,0.00,2750.00
6008,5004,3008,10,150.00,100.00,1400.00
6009,5005,3005,50,110.00,250.00,5250.00
6010,5006,3009,1,7999.00,0.00,7999.00
6011,5007,3004,3,3999.00,0.00,11997.00
6012,5007,3003,3,2199.00,150.00,6447.00
6013,5008,3001,1,499.00,0.00,499.00
6014,5009,3007,25,275.00,250.00,6625.00
6015,5009,3008,25,150.00,0.00,3750.00
6016,5010,3002,2,1299.00,100.00,2498.00
6017,5011,3009,2,7999.00,500.00,15498.00
6018,5012,3006,4,899.00,0.00,3596.00
