inventory_id,product_id,location_id,quantity_on_hand,reorder_level,last_updated
7001,3001,4001,45,15,2025-02-28T08:00:00
7002,3002,4001,18,10,2025-02-28T08:00:00
7003,3003,4002,12,5,2025-02-28T08:15:00
7004,3004,4002,4,5,2025-02-28T08:15:00
7005,3005,4003,220,100,2025-02-28T08:30:00
7006,3006,4003,35,20,2025-02-28T08:30:00
7007,3007,4004,80,30,2025-02-28T08:45:00
7008,3008,4004,125,40,2025-02-28T08:45:00
7009,3009,4005,7,5,2025-02-28T09:00:00
7010,3010,4005,2,0,2025-02-28T09:00:00
7011,3001,4002,22,15,2025-02-28T09:15:00
7012,3002,4003,8,10,2025-02-28T09:15:00
7013,3005,4001,175,100,2025-02-28T09:30:00
7014,3006,4001,14,20,2025-02-28T09:30:00
7015,3007,4003,55,30,2025-02-28T09:45:00
7016,3008,4003,68,40,2025-02-28T09:45:00
