payment_id,order_id,payment_date,payment_amount,payment_method,payment_status,payment_reference
8001,5001,2025-01-06,4595.00,EFT,Successful,EFT-20250106-001
8002,5002,2025-01-08,3047.00,Card,Successful,CARD-20250108-002
8003,5003,2025-01-20,20892.00,Account,Successful,ACC-20250120-003
8004,5004,2025-01-15,4150.00,Card,Successful,CARD-20250115-004
8005,5005,2025-01-19,2500.00,EFT,Pending,EFT-20250119-005
8006,5006,2025-01-23,7999.00,Card,Successful,CARD-20250123-006
8007,5007,2025-02-05,10000.00,Account,Successful,ACC-20250205-007A
8008,5007,2025-02-20,8444.00,Account,Successful,ACC-20250220-007B
8009,5008,2025-02-02,499.00,Card,Reversed,CARD-20250202-008
8010,5009,2025-02-07,10375.00,EFT,Successful,EFT-20250207-009
8011,5010,2025-02-12,2498.00,Card,Successful,CARD-20250212-010
8012,5011,2025-02-25,15498.00,Account,Successful,ACC-20250225-011
8013,5012,2025-02-25,0.00,EFT,Pending,EFT-20250225-012
